x,y,z
-0.40803,-0.68325,2.22631
-0.40747,-0.69218,2.22336
-0.38820,-0.66506,2.23527
-0.36192,-0.66413,2.23725
-0.34003,-0.67275,2.23714
-0.33992,-0.66259,2.23625
-0.38717,-0.68294,2.22948
-0.36096,-0.68199,2.23146
-0.38568,-0.68993,2.22092
-0.36003,-0.68993,2.22570
-0.38769,-0.67400,2.23239
-0.36145,-0.67307,2.23438
-0.31724,-0.66012,2.23224
-0.31683,-0.66900,2.22937
-0.33912,-0.69058,2.23126
-0.33958,-0.68167,2.23422
-0.31642,-0.67787,2.22647
-0.31599,-0.68673,2.22352
-0.46937,-0.69154,2.20783
-0.42396,-0.69297,2.19266
-0.31480,-0.69362,2.21491
-0.33521,-0.69135,2.20487
-0.38179,-0.69200,2.19836
-0.35495,-0.68875,2.19375
-0.40403,-0.69557,2.20456
-0.29020,-0.65982,2.23536
-0.27013,-0.66012,2.23911
-0.26978,-0.66900,2.23623
-0.28907,-0.68641,2.22662
-0.28957,-0.67787,2.23052
-0.26943,-0.67787,2.23331
-0.26823,-0.68416,2.22283
-0.26787,-0.69297,2.21984
-0.28995,-0.66900,2.23343
-0.24791,-0.66651,2.23138
-0.24759,-0.67534,2.22847
-0.22685,-0.65673,2.23390
-0.22656,-0.66557,2.23103
-0.22645,-0.67502,2.23001
-0.22616,-0.68384,2.22706
-0.24727,-0.68416,2.22552
-0.20598,-0.65673,2.23614
-0.18478,-0.66557,2.23530
-0.13731,-0.67439,2.23616
-0.20518,-0.69297,2.22724
-0.20544,-0.68416,2.23024
-0.18419,-0.68256,2.22754
-0.18376,-0.69037,2.22172
-0.20570,-0.67534,2.23319
-0.20580,-0.66588,2.23422
-0.18456,-0.67439,2.23238
-0.16287,-0.67249,2.22855
-0.16307,-0.66369,2.23145
-0.13724,-0.66400,2.23433
-0.13693,-0.68159,2.22847
-0.16256,-0.68063,2.22371
-0.13663,-0.68940,2.22265
-0.28660,-0.68940,2.20674
-0.24618,-0.69037,2.21501
-0.22535,-0.69070,2.21842
-0.31117,-0.69420,2.18850
-0.22324,-0.69255,2.19565
-0.26476,-0.69321,2.19242
-0.24335,-0.69058,2.18757
-0.16202,-0.68745,2.21506
-0.13580,-0.69321,2.20548
-0.18226,-0.69288,2.20080
-0.16069,-0.68959,2.19320
-0.46494,-0.69427,2.18729
-0.44282,-0.69102,2.18270
-0.45874,-0.69387,2.15846
-0.41835,-0.69255,2.16371
-0.39839,-0.69453,2.17369
-0.37775,-0.69354,2.17490
-0.33254,-0.69486,2.18692
-0.35092,-0.68959,2.16838
-0.43634,-0.68959,2.15104
-0.41239,-0.69123,2.13296
-0.45195,-0.69223,2.12691
-0.37196,-0.69123,2.14123
-0.32726,-0.69189,2.15126
-0.34718,-0.69089,2.14490
-0.39090,-0.68956,2.13266
-0.32405,-0.69369,2.12963
-0.28380,-0.69124,2.18405
-0.26176,-0.69356,2.16598
-0.22062,-0.69223,2.16728
-0.24024,-0.68956,2.15735
-0.20185,-0.68861,2.18656
-0.18023,-0.69256,2.17238
-0.13470,-0.69489,2.18266
-0.19937,-0.68756,2.15630
-0.15902,-0.68956,2.16570
-0.30602,-0.69056,2.15092
-0.28007,-0.69023,2.15390
-0.30356,-0.69369,2.13300
-0.27773,-0.69301,2.13501
-0.23800,-0.69133,2.13561
-0.25749,-0.68964,2.12834
-0.17801,-0.69099,2.14117
-0.13317,-0.69301,2.15046
-0.21698,-0.68762,2.12769
-0.19698,-0.68661,2.12702
-0.15746,-0.68998,2.14013
-0.13212,-0.69462,2.12864
-0.40985,-0.62710,2.23567
-0.41037,-0.63785,2.23860
-0.40985,-0.64683,2.23585
-0.47434,-0.63962,2.23042
-0.47413,-0.64923,2.22954
-0.47412,-0.61956,2.22924
-0.47373,-0.62885,2.22751
-0.45270,-0.62827,2.23040
-0.43102,-0.63607,2.22843
-0.45269,-0.61841,2.23025
-0.43065,-0.62565,2.22644
-0.43155,-0.64683,2.23131
-0.45212,-0.64713,2.22777
-0.45232,-0.63755,2.22864
-0.47508,-0.60125,2.23350
-0.47450,-0.61027,2.23092
-0.47524,-0.59167,2.23416
-0.47317,-0.57911,2.22443
-0.43183,-0.58837,2.23212
-0.45241,-0.58864,2.22858
-0.45293,-0.57966,2.23107
-0.43196,-0.57884,2.23272
-0.40942,-0.58727,2.23287
-0.40894,-0.59622,2.23034
-0.45305,-0.60913,2.23193
-0.43082,-0.61611,2.22721
-0.43168,-0.59790,2.23147
-0.45264,-0.59874,2.22981
-0.43116,-0.60687,2.22889
-0.40845,-0.60517,2.22776
-0.40933,-0.61640,2.23269
-0.38855,-0.60658,2.23659
-0.36165,-0.60460,2.23477
-0.38901,-0.59762,2.23917
-0.36205,-0.58589,2.23705
-0.36192,-0.59539,2.23640
-0.33978,-0.59371,2.23441
-0.34004,-0.58452,2.23600
-0.33980,-0.60347,2.23468
-0.31806,-0.61295,2.23748
-0.38808,-0.61554,2.23396
-0.36136,-0.61381,2.23309
-0.38784,-0.58589,2.23225
-0.31696,-0.58149,2.22905
-0.31712,-0.59148,2.23033
-0.33968,-0.61295,2.23395
-0.31740,-0.60177,2.23251
-0.36150,-0.65336,2.23445
-0.38825,-0.62565,2.23507
-0.34066,-0.63459,2.24087
-0.34066,-0.62477,2.24075
-0.31806,-0.62273,2.23766
-0.31793,-0.63223,2.23684
-0.34008,-0.65306,2.23721
-0.34023,-0.64353,2.23812
-0.31765,-0.65123,2.23508
-0.38790,-0.65458,2.23341
-0.38776,-0.64443,2.23244
-0.36017,-0.64083,2.22594
-0.38793,-0.63489,2.23331
-0.36077,-0.62244,2.22949
-0.36062,-0.63193,2.22867
-0.31754,-0.64113,2.23409
-0.45381,-0.54207,2.23497
-0.45409,-0.55211,2.23643
-0.43269,-0.55082,2.23618
-0.43283,-0.57039,2.23707
-0.43258,-0.56034,2.23570
-0.41013,-0.55929,2.23645
-0.40973,-0.57803,2.23442
-0.45358,-0.56112,2.23405
-0.45345,-0.57066,2.23352
-0.47364,-0.56034,2.22645
-0.47331,-0.56959,2.22499
-0.47469,-0.54233,2.23115
-0.47417,-0.55134,2.22882
-0.43206,-0.54030,2.23282
-0.40955,-0.54876,2.23313
-0.40967,-0.56826,2.23404
-0.45458,-0.52379,2.23857
-0.45410,-0.53281,2.23632
-0.45474,-0.50477,2.23916
-0.45505,-0.51476,2.24079
-0.43251,-0.51210,2.23482
-0.43295,-0.50311,2.23699
-0.41059,-0.51186,2.23841
-0.41017,-0.52084,2.23620
-0.40991,-0.53006,2.23490
-0.47489,-0.52330,2.23190
-0.47439,-0.53231,2.22965
-0.47477,-0.51355,2.23126
-0.47342,-0.50240,2.22488
-0.40926,-0.50050,2.23103
-0.43179,-0.53031,2.23131
-0.43224,-0.52133,2.23356
-0.40947,-0.53903,2.23261
-0.36218,-0.52831,2.23714
-0.36240,-0.53826,2.23867
-0.38878,-0.51041,2.23679
-0.38917,-0.50145,2.23897
-0.36217,-0.50921,2.23682
-0.36179,-0.51814,2.23461
-0.34023,-0.51765,2.23639
-0.34029,-0.50824,2.23669
-0.31819,-0.51692,2.23705
-0.31787,-0.52582,2.23479
-0.31779,-0.53522,2.23442
-0.38756,-0.53725,2.23005
-0.38797,-0.52831,2.23233
-0.38789,-0.51863,2.23172
-0.31707,-0.50535,2.22868
-0.33952,-0.53547,2.23185
-0.33988,-0.52657,2.23414
-0.38829,-0.57695,2.23474
-0.38857,-0.56773,2.23625
-0.36231,-0.57668,2.23860
-0.38835,-0.55771,2.23487
-0.34119,-0.55771,2.24339
-0.31785,-0.54488,2.23496
-0.31790,-0.55456,2.23546
-0.34057,-0.57586,2.23945
-0.34095,-0.56693,2.24192
-0.36121,-0.56506,2.23154
-0.38747,-0.54669,2.22962
-0.36156,-0.54643,2.23347
-0.36116,-0.55535,2.23110
-0.33958,-0.54514,2.23239
-0.31755,-0.56346,2.23304
-0.31720,-0.57235,2.23059
-0.24846,-0.55168,2.23450
-0.24853,-0.54230,2.23495
-0.28982,-0.57126,2.23083
-0.29002,-0.56213,2.23232
-0.26912,-0.56026,2.22842
-0.26925,-0.57018,2.22980
-0.28975,-0.55194,2.22995
-0.28994,-0.54282,2.23136
-0.26948,-0.54204,2.23128
-0.26919,-0.55089,2.22891
-0.22696,-0.54101,2.23263
-0.22673,-0.54984,2.23026
-0.24812,-0.56991,2.23155
-0.24829,-0.56080,2.23304
-0.22648,-0.55866,2.22786
-0.22624,-0.56747,2.22541
-0.29055,-0.50607,2.23563
-0.24860,-0.51397,2.23508
-0.24874,-0.50487,2.23632
-0.24849,-0.53268,2.23440
-0.24874,-0.52382,2.23669
-0.22720,-0.53217,2.23496
-0.29001,-0.53344,2.23177
-0.29008,-0.52407,2.23213
-0.26960,-0.52332,2.23205
-0.26976,-0.53319,2.23361
-0.29025,-0.51495,2.23342
-0.26971,-0.50462,2.23265
-0.26987,-0.51446,2.23430
-0.22703,-0.51274,2.23275
-0.22583,-0.50004,2.21949
-0.22698,-0.52207,2.23243
-0.20613,-0.52207,2.23467
-0.20633,-0.51323,2.23692
-0.20653,-0.50438,2.23914
-0.13775,-0.50270,2.23818
-0.13767,-0.51176,2.23694
-0.16361,-0.52132,2.23566
-0.13755,-0.52057,2.23469
-0.20577,-0.53039,2.23046
-0.18497,-0.52132,2.23381
-0.18479,-0.53014,2.23152
-0.18460,-0.53895,2.22920
-0.18498,-0.50245,2.23343
-0.18480,-0.51127,2.23122
-0.16347,-0.51127,2.23307
-0.16345,-0.50173,2.23237
-0.16329,-0.53895,2.23104
-0.16345,-0.53014,2.23337
-0.13734,-0.53843,2.23104
-0.13742,-0.52938,2.23240
-0.20616,-0.56991,2.23628
-0.13744,-0.57737,2.23480
-0.20568,-0.55866,2.23009
-0.18458,-0.56747,2.22967
-0.20556,-0.53921,2.22813
-0.20550,-0.54853,2.22769
-0.18470,-0.55840,2.23116
-0.18489,-0.54958,2.23357
-0.16313,-0.54774,2.22868
-0.13721,-0.54722,2.22868
-0.13717,-0.55653,2.22820
-0.16297,-0.55653,2.22627
-0.16304,-0.57600,2.22807
-0.16303,-0.56639,2.22768
-0.13735,-0.56720,2.23249
-0.27015,-0.65032,2.23911
-0.24846,-0.61923,2.23584
-0.28952,-0.64819,2.22969
-0.28989,-0.63933,2.23247
-0.26931,-0.63813,2.23148
-0.28990,-0.62956,2.23238
-0.28978,-0.61952,2.23128
-0.26921,-0.61835,2.23028
-0.26889,-0.62720,2.22758
-0.24797,-0.62749,2.23123
-0.22628,-0.62542,2.22706
-0.22601,-0.63423,2.22433
-0.24787,-0.63693,2.23039
-0.24756,-0.64576,2.22761
-0.22652,-0.64576,2.23009
-0.24726,-0.65458,2.22479
-0.26994,-0.59120,2.23624
-0.22731,-0.58039,2.23729
-0.22724,-0.58980,2.23666
-0.24876,-0.61036,2.23851
-0.24885,-0.60092,2.23923
-0.29013,-0.61065,2.23394
-0.28977,-0.60007,2.23086
-0.26963,-0.60007,2.23366
-0.26932,-0.60893,2.23104
-0.29010,-0.59120,2.23343
-0.29020,-0.58177,2.23406
-0.26917,-0.57957,2.22922
-0.24806,-0.58897,2.23131
-0.24795,-0.57902,2.23002
-0.22698,-0.59865,2.23408
